Kreis;Beschaeftigte;Beschaeftigte-Baugewerbe;Anteil-Baugewerbe;Anteil-Hochschulabschluss;Einkommen-Median;Universitaeten-Mittel;Patente
12072;52375;3923;0.074902148;0.1209546539;2086;0;16.1595
12073;37175;3250;0.0874243443;0.0976193679;1849;0;0.819048
13003;79287;2561;0.0323003771;0.1794997919;2309;240634;14.9318
13004;47675;2362;0.0495437861;0.152239119;2370;2810;8.31667
13071;90267;7391;0.0818793136;0.1062846888;7234;12186;45
13072;61296;5839;0.0952590707;0.1041340381;3606;4768;17.1742
13073;72391;5459;0.0754099266;0.0966832894;5552;11469;6.06667
13074;44248;4659;0.1052928946;0.0976767312;4027;15138;2.56667
13075;76787;4925;0.0641384609;0.122117025;5778;241915;12.1167
13076;61996;5997;0.0967320472;0.0816504291;3682;0;3.4
14511;107502;5530;0.0514409034;0.1908429611;2089;104770;31.6409
14521;108442;10310;0.0950738644;0.1055495103;1693;0;16.3762
14522;105848;9157;0.0865108457;0.1324068476;1801;99184;40.1075
14523;77467;6134;0.0791821033;0.1154039785;1796;0;13.7667
14524;120110;8613;0.0717092665;0.1212471901;1927;27302.5;12.5714
14612;224364;11100;0.0494731775;0.2495230964;2450;611085;161.807
14625;101844;8854;0.0869368839;0.1320647264;1837;0;30.7595
14626;79068;5963;0.0754160975;0.132759144;1737;23657;10.1833
14627;81665;6723;0.0823241291;0.1387865058;1948;4106;33.5052
14628;70526;6956;0.0986302924;0.1480872302;1798;13798;25.2865
14713;212374;10326;0.048621771;0.2131852298;2291;476790;57.3937
14729;70135;7505;0.1070079133;0.1161189135;1793;0;7.4
14730;65436;6704;0.1024512501;0.111941439;1884;0;9.01667
15001;34492;2209;0.0640438363;0.1516873478;2035;234;5.23333
15002;92362;4780;0.0517528854;0.1773889695;2317;345344;26.994
15003;103666;6362;0.0613701696;0.166853163;2280;362002;10.5924
15081;27139;2383;0.0878072147;0.0809904565;1762;0;3.33333
15082;56329;4007;0.0711356495;0.1118429228;1880;3794;9.73175
15083;54541;4306;0.0789497809;0.0924992208;2042;0;1.80952
15084;53582;4765;0.088929118;0.090011571;1927;0;3.31667
15085;69788;6151;0.0881383619;0.0935261076;1950;9306;12.1
15086;27555;3556;0.1290509889;0.087606605;1911;1502;3.95238
15087;40664;3713;0.0913092662;0.081644698;1794;0;3.22619
15088;64167;6666;0.1038851746;0.1007215547;2085;11730;13.919
15089;61184;4440;0.0725679916;0.1013173379;1959;10847;3.87424
15090;36236;3580;0.0987967767;0.0934429849;1867;2177.03;0.785714
15091;39541;3424;0.0865936623;0.0974684505;1831;0;2.78333
16051;98898;5238;0.0529636595;0.1763331918;2253;40306;17.9167
16052;36748;1988;0.0540981822;0.1286872755;1901;1101;0.694444
16053;48449;2256;0.0465644286;0.2951970113;2472;583514;75.321
16054;15741;827;0.0525379582;0.1461787688;2082;0;1.33333
16055;22756;1147;0.050404289;0.2179205484;2322;49391;3.66905
16056;22754;991;0.0435527819;0.1019600949;2222;0;6.13526
16061;32379;4006;0.1237221656;0.0815034436;1832;0;2.93333
16062;27478;3109;0.1131450615;0.1096877502;1964;4825;29.45
16063;38070;2869;0.0753611768;0.0934594169;1950;0;4.66667
16064;31870;2918;0.0915594603;0.0945403201;1782;0;7.13571
16065;19637;1964;0.1000152773;0.1015430056;1807;0;1
16066;41338;3168;0.0766365088;0.1084716242;1829;9053;9.78333
16067;45369;4236;0.093367718;0.1004209923;1914;2347;8.575
16068;21060;1969;0.0934947768;0.0896961064;1853;0;0
16069;19310;1785;0.0924391507;0.0986017607;1793;0;6.05
16070;35811;3142;0.0877384044;0.1525788166;1939;62576;18.7
16071;23558;3386;0.1437303676;0.1042533322;1884;0;5.22619
16072;20284;1381;0.0680832183;0.0837112995;1829;0;8.37619
16073;35520;2840;0.079954955;0.1247184685;1910;0;8.21667
16074;26768;2912;0.1087866109;0.1068813509;1853;0;14.9361
16075;30372;2413;0.079448176;0.0871526406;1794;0;0
16076;28449;3499;0.1229920208;0.1006713768;1785;0;3.33333
16077;26825;2239;0.0834669152;0.0902143523;1728;0;2.7

